participant_id,block,trial_index,win,state2_color,trial_index_global,stage,choice
562,1,29,0,blue,28,1,2
562,1,29,0,blue,28,2,2
562,1,30,1,blue,29,1,1
562,1,30,1,blue,29,2,2
562,1,31,0,pink,30,1,1
562,1,31,0,pink,30,2,2
562,1,32,1,pink,31,1,1
562,1,32,1,pink,31,2,2
562,2,0,1,blue,32,1,2
562,2,0,1,blue,32,2,2
562,2,1,0,blue,33,1,2
562,2,1,0,blue,33,2,1
562,2,2,1,blue,34,1,2
562,2,2,1,blue,34,2,1
562,2,3,1,blue,35,1,2
562,2,3,1,blue,35,2,1
562,2,4,1,blue,36,1,1
562,2,4,1,blue,36,2,1
562,2,5,1,pink,37,1,1
562,2,5,1,pink,37,2,2
562,2,6,1,blue,38,1,2
562,2,6,1,blue,38,2,1
562,2,7,0,pink,39,1,1
562,2,7,0,pink,39,2,1
562,2,8,0,pink,40,1,2
562,2,8,0,pink,40,2,2
562,2,9,1,pink,41,1,2
562,2,9,1,pink,41,2,2
562,2,10,1,blue,42,1,1
562,2,10,1,blue,42,2,2
562,2,11,1,pink,43,1,1
562,2,11,1,pink,43,2,2
562,2,12,0,pink,44,1,1
562,2,12,0,pink,44,2,2
562,2,13,1,pink,45,1,1
562,2,13,1,pink,45,2,1
562,2,14,1,pink,46,1,2
562,2,14,1,pink,46,2,1
562,2,15,0,pink,47,1,1
562,2,15,0,pink,47,2,2
562,2,16,1,blue,48,1,2
562,2,16,1,blue,48,2,2
562,2,17,0,pink,49,1,1
562,2,17,0,pink,49,2,2
562,2,18,1,pink,50,1,1
562,2,18,1,pink,50,2,2
562,2,19,0,blue,51,1,1
562,2,19,0,blue,51,2,2
562,2,20,1,blue,52,1,2
562,2,20,1,blue,52,2,2
562,2,21,0,pink,53,1,1
562,2,21,0,pink,53,2,1
562,2,22,0,pink,54,1,1
562,2,22,0,pink,54,2,2
562,2,23,1,pink,55,1,1
562,2,23,1,pink,55,2,2
562,2,24,1,blue,56,1,1
562,2,24,1,blue,56,2,1
562,2,25,0,pink,57,1,1
562,2,25,0,pink,57,2,1
562,2,26,1,pink,58,1,2
562,2,26,1,pink,58,2,2
562,2,27,1,blue,59,1,2
562,2,27,1,blue,59,2,1
562,2,28,1,blue,60,1,2
562,2,28,1,blue,60,2,2
562,2,29,1,pink,61,1,2
562,2,29,1,pink,61,2,2
562,2,30,1,blue,62,1,2
562,2,30,1,blue,62,2,1
562,2,31,1,pink,63,1,1
562,2,31,1,pink,63,2,1
562,2,32,0,blue,64,1,2
562,2,32,0,blue,64,2,2
562,3,0,1,pink,65,1,1
562,3,0,1,pink,65,2,1
562,3,1,1,pink,66,1,1
562,3,1,1,pink,66,2,2
562,3,2,0,pink,67,1,1
562,3,2,0,pink,67,2,1
562,3,3,1,pink,68,1,2
562,3,3,1,pink,68,2,2
562,3,4,1,blue,69,1,2
562,3,4,1,blue,69,2,2
562,3,5,1,pink,70,1,1
562,3,5,1,pink,70,2,1
562,3,6,1,pink,71,1,2
562,3,6,1,pink,71,2,1
562,3,7,0,pink,72,1,2
562,3,7,0,pink,72,2,1
562,3,8,0,pink,73,1,1
562,3,8,0,pink,73,2,2
562,3,9,1,pink,74,1,1
562,3,9,1,pink,74,2,1
562,3,10,1,pink,75,1,2
562,3,10,1,pink,75,2,2
562,3,11,1,pink,76,1,2
562,3,11,1,pink,76,2,1
562,3,12,0,blue,77,1,2
562,3,12,0,blue,77,2,2
562,3,13,0,blue,78,1,2
562,3,13,0,blue,78,2,1
562,3,14,0,pink,79,1,2
562,3,14,0,pink,79,2,1
562,3,15,0,pink,80,1,1
562,3,15,0,pink,80,2,1
562,3,16,0,blue,81,1,2
562,3,16,0,blue,81,2,1
562,3,17,0,pink,82,1,1
562,3,17,0,pink,82,2,2
562,3,18,0,blue,83,1,2
562,3,18,0,blue,83,2,2
562,3,19,0,pink,84,1,2
562,3,19,0,pink,84,2,2
562,3,20,0,blue,85,1,2
562,3,20,0,blue,85,2,2
562,3,21,0,pink,86,1,1
562,3,21,0,pink,86,2,1
562,3,22,1,pink,87,1,2
562,3,22,1,pink,87,2,1
562,3,23,1,pink,88,1,1
562,3,23,1,pink,88,2,1
562,3,24,1,pink,89,1,1
562,3,24,1,pink,89,2,1
562,3,25,1,pink,90,1,2
562,3,25,1,pink,90,2,1
562,3,26,1,blue,91,1,2
562,3,26,1,blue,91,2,1
562,3,27,0,pink,92,1,1
562,3,27,0,pink,92,2,2
562,3,28,0,pink,93,1,2
562,3,28,0,pink,93,2,2
562,3,29,0,pink,94,1,1
562,3,29,0,pink,94,2,2
562,3,30,1,pink,95,1,1
562,3,30,1,pink,95,2,1
562,3,32,0,pink,96,1,2
562,3,32,0,pink,96,2,1
278,1,0,0,pink,1,1,1
278,1,0,0,pink,1,2,2
278,1,1,1,pink,2,1,1
278,1,1,1,pink,2,2,1
278,1,2,0,pink,3,1,1
278,1,2,0,pink,3,2,1
278,1,3,1,blue,4,1,1
278,1,3,1,blue,4,2,1
278,1,4,1,blue,5,1,1
278,1,4,1,blue,5,2,1
278,1,5,0,pink,6,1,1
278,1,5,0,pink,6,2,2
278,1,6,1,blue,7,1,1
278,1,6,1,blue,7,2,1
278,1,7,1,blue,8,1,1
278,1,7,1,blue,8,2,1
278,1,8,0,pink,9,1,1
278,1,8,0,pink,9,2,2
278,1,9,0,pink,10,1,1
278,1,9,0,pink,10,2,2
278,1,10,1,pink,11,1,1
278,1,10,1,pink,11,2,1
278,1,11,0,blue,12,1,1
278,1,11,0,blue,12,2,2
278,1,12,1,pink,13,1,1
278,1,12,1,pink,13,2,2
278,1,13,1,blue,14,1,1
278,1,13,1,blue,14,2,1
278,1,14,1,pink,15,1,1
278,1,14,1,pink,15,2,1
278,1,15,1,pink,16,1,1
278,1,15,1,pink,16,2,1
278,1,16,0,pink,17,1,1
278,1,16,0,pink,17,2,2
278,1,17,0,pink,18,1,1
278,1,17,0,pink,18,2,1
278,1,18,1,blue,19,1,1
278,1,18,1,blue,19,2,1
278,1,19,0,pink,20,1,1
278,1,19,0,pink,20,2,2
278,1,20,1,pink,21,1,1
278,1,20,1,pink,21,2,2
278,1,21,1,pink,22,1,1
278,1,21,1,pink,22,2,1
278,1,23,1,blue,23,1,1
278,1,23,1,blue,23,2,1
278,1,24,1,blue,24,1,1
278,1,24,1,blue,24,2,1
278,1,25,0,blue,25,1,1
278,1,25,0,blue,25,2,1
278,1,26,1,blue,26,1,1
278,1,26,1,blue,26,2,1
278,1,27,1,pink,27,1,1
278,1,27,1,pink,27,2,1
278,1,28,1,pink,28,1,1
278,1,28,1,pink,28,2,1
278,1,29,0,pink,29,1,1
278,1,29,0,pink,29,2,1
278,1,30,1,blue,30,1,1
278,1,30,1,blue,30,2,1
278,1,31,0,pink,31,1,1
278,1,31,0,pink,31,2,2
278,1,32,0,pink,32,1,1
278,1,32,0,pink,32,2,2
278,2,0,0,pink,33,1,1
278,2,0,0,pink,33,2,2
278,2,1,1,pink,34,1,1
278,2,1,1,pink,34,2,2
278,2,2,1,blue,35,1,1
278,2,2,1,blue,35,2,1
278,2,3,1,pink,36,1,1
278,2,3,1,pink,36,2,1
278,2,4,1,pink,37,1,1
278,2,4,1,pink,37,2,2
278,2,5,1,pink,38,1,1
278,2,5,1,pink,38,2,2
278,2,6,1,blue,39,1,1
278,2,6,1,blue,39,2,1
278,2,7,0,pink,40,1,1
278,2,7,0,pink,40,2,2
278,2,8,1,pink,41,1,1
278,2,8,1,pink,41,2,2
278,2,9,1,pink,42,1,1
278,2,9,1,pink,42,2,2
278,2,10,1,pink,43,1,1
278,2,10,1,pink,43,2,1
278,2,11,1,blue,44,1,1
278,2,11,1,blue,44,2,1
278,2,12,0,pink,45,1,1
278,2,12,0,pink,45,2,2
278,2,13,1,pink,46,1,1
278,2,13,1,pink,46,2,1
278,2,14,1,pink,47,1,1
278,2,14,1,pink,47,2,1
278,2,15,1,blue,48,1,1
278,2,15,1,blue,48,2,1
278,2,16,1,blue,49,1,1
278,2,16,1,blue,49,2,1
278,2,17,0,pink,50,1,1
278,2,17,0,pink,50,2,2
278,2,18,1,pink,51,1,1
278,2,18,1,pink,51,2,2
278,2,19,0,pink,52,1,1
278,2,19,0,pink,52,2,2
278,2,20,0,blue,53,1,1
278,2,20,0,blue,53,2,1
278,2,21,1,pink,54,1,1
278,2,21,1,pink,54,2,1
278,2,22,0,pink,55,1,1
278,2,22,0,pink,55,2,2
278,2,23,0,pink,56,1,1
278,2,23,0,pink,56,2,2
278,2,24,1,pink,57,1,1
278,2,24,1,pink,57,2,2
278,2,25,0,blue,58,1,1
278,2,25,0,blue,58,2,1
278,2,26,1,blue,59,1,1
278,2,26,1,blue,59,2,1
278,2,27,0,pink,60,1,1
278,2,27,0,pink,60,2,1
278,2,28,0,pink,61,1,1
278,2,28,0,pink,61,2,2
278,2,29,1,pink,62,1,1
278,2,29,1,pink,62,2,1
278,2,30,1,pink,63,1,1
278,2,30,1,pink,63,2,1
278,2,31,1,pink,64,1,1
278,2,31,1,pink,64,2,1
278,2,32,1,blue,65,1,1
278,2,32,1,blue,65,2,1
278,3,0,0,pink,66,1,1
278,3,0,0,pink,66,2,2
278,3,1,0,blue,67,1,1
278,3,1,0,blue,67,2,1
278,3,2,1,pink,68,1,1
278,3,2,1,pink,68,2,1
278,3,3,0,blue,69,1,1
278,3,3,0,blue,69,2,1
278,3,4,0,blue,70,1,1
278,3,4,0,blue,70,2,2
278,3,5,0,pink,71,1,1
278,3,5,0,pink,71,2,1
278,3,6,1,blue,72,1,1
278,3,6,1,blue,72,2,1
278,3,7,1,blue,73,1,1
278,3,7,1,blue,73,2,1
278,3,8,0,pink,74,1,1
278,3,8,0,pink,74,2,2
278,3,9,1,pink,75,1,1
278,3,9,1,pink,75,2,2
278,3,10,1,blue,76,1,1
278,3,10,1,blue,76,2,2
278,3,11,0,pink,77,1,1
278,3,11,0,pink,77,2,1
278,3,12,1,pink,78,1,1
278,3,12,1,pink,78,2,1
278,3,13,1,pink,79,1,1
278,3,13,1,pink,79,2,1
278,3,14,1,blue,80,1,1
278,3,14,1,blue,80,2,1
278,3,15,0,blue,81,1,1
278,3,15,0,blue,81,2,1
278,3,16,1,blue,82,1,1
278,3,16,1,blue,82,2,1
278,3,17,0,pink,83,1,1
278,3,17,0,pink,83,2,1
278,3,18,0,pink,84,1,1
278,3,18,0,pink,84,2,1
278,3,19,0,pink,85,1,1
278,3,19,0,pink,85,2,2
278,3,20,1,pink,86,1,1
278,3,20,1,pink,86,2,1
278,3,21,0,pink,87,1,1
278,3,21,0,pink,87,2,2
278,3,22,0,pink,88,1,1
278,3,22,0,pink,88,2,2
278,3,23,1,pink,89,1,1
278,3,23,1,pink,89,2,2
278,3,24,1,blue,90,1,1
278,3,24,1,blue,90,2,1
278,3,25,0,blue,91,1,1
278,3,25,0,blue,91,2,1
278,3,26,1,pink,92,1,1
278,3,26,1,pink,92,2,1
278,3,27,1,pink,93,1,1
278,3,27,1,pink,93,2,1
278,3,28,1,blue,94,1,1
278,3,28,1,blue,94,2,1
